테이블 물리명,테이블 논리명,순서,칼럼 논리명,칼럼 물리명,저장형식,키,참조 대상,필수,비고
ref.region,행정구역,1,법정동코드,stdg_cd,varchar(10),PK,,필수,
ref.region,행정구역,2,상위법정동코드,up_stdg_cd,varchar(10),,,,
ref.region,행정구역,3,단계,stp,smallint,,,,
ref.region,행정구역,4,행정구역명,admdst_nm,varchar(40),,,,
ref.lot,지번,1,법정동코드,stdg_cd,varchar(10),PK,,필수,
ref.lot,지번,2,산여부,mtn_yn,varchar(1),PK,,필수,
ref.lot,지번,3,지번본번,mno,smallint,PK,,필수,
ref.lot,지번,4,지번부번,sno,smallint,PK,,필수,
ref.address_lot,관련지번,1,법정동코드,stdg_cd,varchar(10),PK,,필수,
ref.address_lot,관련지번,2,산여부,mtn_yn,varchar(1),PK,,필수,
ref.address_lot,관련지번,3,지번본번,mno,smallint,PK,,필수,
ref.address_lot,관련지번,4,지번부번,sno,smallint,PK,,필수,
ref.address_lot,관련지번,5,도로명주소관리번호,road_nm_addr_mng_no,varchar(26),PK,,필수,
ref.address,등록주소,1,도로명주소관리번호,road_nm_addr_mng_no,varchar(26),PK,,필수,
ref.address,등록주소,2,도로명코드,road_nm_cd,varchar(12),,,,
ref.address,등록주소,3,지하여부,udgd_yn,varchar(1),,,,
ref.address,등록주소,4,건물본번,bmno,integer,,,,
ref.address,등록주소,5,건물부번,bsno,integer,,,,
ref.address,등록주소,6,법정동코드,stdg_cd,varchar(10),,,,
ref.address,등록주소,7,기초구역번호,zip,varchar(5),,,,
ref.address,등록주소,8,공동주택구분,aptcpx_se,varchar(1),,,,
ref.address,등록주소,9,효력발생일,efctn_ymd,date,,,,
ref.address,등록주소,10,상태,stts,varchar(1),,,,우리가 만든다. 0 유효 · 1 폐지
ref.address,등록주소,11,폐지관측일자,abl_obsrvn_ymd,date,,,,우리가 만든다. 폐지를 처음 관측한 날
ref.unit_lookup,상세주소찾기,1,도로명주소관리번호,road_nm_addr_mng_no,varchar(26),PK,,필수,
ref.unit_lookup,상세주소찾기,2,동명칭,blk_nm,varchar(50),PK,,필수,
ref.unit_lookup,상세주소찾기,3,층명칭,flr_nm,varchar(50),PK,,필수,빈 값은 빈 문자열이다. NULL이 아니다. 기본키 칼럼이라 NULL을 못 받는다
ref.unit_lookup,상세주소찾기,4,호명칭,ho_nm,varchar(50),PK,,필수,빈 값은 빈 문자열이다
ref.unit_lookup,상세주소찾기,5,지하구분,udgd_se,varchar(1),PK,,필수,
ref.unit_lookup,상세주소찾기,6,건물관리번호,bldg_mng_no,varchar(25),,,,
ref.unit_lookup,상세주소찾기,7,출처,src,varchar(1),,,,
ref.building,건물,1,건물관리번호,bldg_mng_no,varchar(25),PK,,필수,
ref.building,건물,2,도로명주소관리번호,road_nm_addr_mng_no,varchar(26),,,,NOT NULL을 걸지 않는다. 동 표시에 없는 건물이 서울 230채다
ref.building,건물,3,대표지번법정동코드,rprs_stdg_cd,varchar(10),,,,
ref.building,건물,4,대표지번산여부,rprs_mtn_yn,varchar(1),,,,
ref.building,건물,5,대표지번본번,rprs_mno,smallint,,,,
ref.building,건물,6,대표지번부번,rprs_sno,smallint,,,,
ref.building,건물,7,건축물대장건물명,bdrg_bldg_nm,varchar(40),,,,
ref.building,건물,8,상세건물명,dtl_bldg_nm,varchar(100),,,,
ref.building,건물,9,시군구용건물명,sgg_bldg_nm,varchar(40),,,,
ref.building,건물,10,공동주택여부,aptcpx_yn,varchar(1),,,,
ref.building,건물,11,행정동명,dong_nm,varchar(40),,,,
ref.building,건물,12,상태,stts,varchar(1),,,,
ref.building,건물,13,폐지관측일자,abl_obsrvn_ymd,date,,,,우리가 만든다. 폐지를 처음 관측한 날
ref.unit,상세위치,1,출처,src,varchar(1),PK,,필수,
ref.unit,상세위치,2,시군구코드,sgg_cd,varchar(5),PK,,필수,
ref.unit,상세위치,3,동일련번호,blk_sn,bigint,PK,,필수,
ref.unit,상세위치,4,층일련번호,flr_sn,bigint,PK,,필수,
ref.unit,상세위치,5,호일련번호,ho_sn,bigint,PK,,필수,
ref.unit,상세위치,6,호접미사일련번호,ho_sfx_sn,bigint,PK,,필수,
ref.unit,상세위치,7,동명칭,blk_nm,varchar(50),,,,
ref.unit,상세위치,8,층명칭,flr_nm,varchar(50),,,,
