표준단어명,영문명,영문약어명,출처,표준도메인분류,쓰인 칼럼 수,비고
명,Name,NM,공통표준단어,명,26,
코드,Code,CD,공통표준단어,코드,14,
번호,Number,NO,공통표준단어,번호,12,
관리,Management,MNG,공통표준단어,,11,
도로,Road,ROAD,공통표준단어,,11,
구분,Section,SE,공통표준단어,,10,
건물,Building,BLDG,공통표준단어,,9,
주소,Address,ADDR,공통표준단어,주소,7,
식별자,Identifier,IDNTFR,공통표준단어,,7,
일자,YEAR Month Day,YMD,공통표준단어,연월일,7,
일시,Date and Time,DT,공통표준단어,연월일시분초,6,
일련번호,Serial Number,SN,공통표준단어,일련번호,6,
법정동,Statutory Dong(Administrative District),STDG,공통표준단어,,6,
여부,Yes or No,YN,공통표준단어,여부,6,
호,Ho,HO,프로젝트 신규,,5,등재 없음
관측,Observation,OBSRVN,공통표준단어,,5,
동(棟),Block,BLK,프로젝트 신규,,4,표준에 「아파트 동」 뜻의 홑글자가 없다. DONG은 표준용어 행정동명·행정동코드가 이미 쓴다
요청,Demand,DMND,공통표준단어,,4,
층,Floor,FLR,공통표준단어,,4,
적재,Load,LOAD,공통표준단어,,4,
대표,Representation,RPRS,공통표준단어,,4,
출처,Source,SRC,공통표준단어,,4,
토큰,Token,TKN,공통표준단어,,4,
폐지,Abolition,ABL,공통표준단어,,3,
확정,Confirmation,CFMTN,공통표준단어,,3,
읍면동,Eup/Myun/Dong,EMD,공통표준단어,,3,
실행,Execution,EXCN,공통표준단어,,3,
본번,Main Number,MNO,공통표준단어,본번,3,
산,Mountain,MTN,공통표준단어,,3,
부번,Sub Number,SNO,공통표준단어,부번,3,
지하,Underground,UDGD,공통표준단어,,3,
공동주택,Apartment Complex,APTCPX,공통표준단어,,2,
전,Before,BFR,프로젝트 신규,,2,등재 없음. 표준단어 「이전 = BFR」의 축약을 빌린다
시작,Beginning,BGNG,공통표준단어,,2,
생성,Creation,CRT,공통표준단어,,2,
자료,Data,DATA,공통표준단어,,2,
종료,End,END,공통표준단어,,2,
판정,Judgement,JGMT,공통표준단어,,2,
현재,Now,NOW,공통표준단어,,2,
결과,Result,RSLT,공통표준단어,,2,
사유,Reason,RSN,공통표준단어,내용,2,
시군구,Si/Gun/Gu,SGG,공통표준단어,,2,
설정,Setting,STNG,공통표준단어,,2,
단계,Step,STP,공통표준단어,,2,
상태,Status,STTS,공통표준단어,,2,
미사용,Unused,UNSD,공통표준단어,,2,
상위,Upper,UP,공통표준단어,,2,
행정구역,Administrative District,ADMDST,공통표준단어,,1,
고시,Announcement,ANCMNT,공통표준단어,,1,
신청,Apply,APLY,공통표준단어,,1,
건축물대장,Building Register,BDRG,공통표준단어,,1,
건물본번,Building Main Number,BMNO,공통표준단어,건물본번,1,
건물부번,Building Sub Number,BSNO,공통표준단어,건물부번,1,
배치,Batch,BTCH,공통표준단어,,1,
후보,Candidate,CAND,프로젝트 신규,,1,등재 없음. 「후보자 = CNDD」·「조건 = CND」와 겹치지 않는다
호출,Call Out,CLOT,공통표준단어,,1,
대응,Correspondence,CRSP,공통표준단어,,1,
시도,Cities And Provinces,CTPV,공통표준단어,,1,
상세주소,Detailed Address,DADDR,공통표준단어,상세주소,1,
행정동,Dong (Administrative District) ,DONG,공통표준단어,,1,
상세,Details,DTL,공통표준단어,,1,
발효,Effectuation,EFCTN,공통표준단어,,1,
제외,Exclusion,EXCL,공통표준단어,,1,
파일,File,FILE,공통표준단어,,1,
횟수,Number Of Times,NMTM,공통표준단어,수,1,
건수,The Number Of Cases,NOCS,공통표준단어,수,1,
원본,Original,ORGNL,공통표준단어,,1,
쪽,Page,PAGE,공통표준단어,,1,
처리,Process,PRCS,공통표준단어,,1,
허용,Permit,PRM,공통표준단어,,1,
접수,Receipt,RCPT,공통표준단어,,1,
접미사,Suffix,SFX,프로젝트 신규,,1,등재 없음. 영어 관용 축약을 쓴다
원천,Source,SOU,공통표준단어,,1,
전략,Strategy,STRTG,공통표준단어,,1,
크기,Size,SZ,공통표준단어,수,1,
대상,Target,TRGT,공통표준단어,,1,
오타,Typographical Error,TYPO,프로젝트 신규,,1,"등재 없음. 표준 3,284개에서 TYPO는 비어 있다"
상한,The Upper Limit,UPLMT,공통표준단어,,1,
사용,Use,USE,공통표준단어,,1,
값,Value,VL,공통표준단어,,1,
연월,Year and Month,YM,공통표준단어,연월,1,
우편번호,Zip Code,ZIP,공통표준단어,우편번호,1,
