표준도메인명,도메인분류,저장형식(PostgreSQL),표현형식,쓰인 칼럼 수
구분V1,구분,varchar(1),1자리 이내 문자,20
수N,수,integer,정수 10자리,15
명V50,명,varchar(50),50자리 이내 문자,11
식별자N,식별자,bigint,정수 19자리,8
일자D8,일자,date,YYYY-MM-DD,7
코드V10,코드,varchar(10),10자리 이내 문자,7
번호V26,번호,varchar(26),26자리 이내 문자,6
여부V1,여부,varchar(1),1자리 이내 문자,6
일시D,일시,timestamptz,YYYY-MM-DD HH:MM:SS+TZ,6
번호V25,번호,varchar(25),25자리 이내 문자,5
명V40,명,varchar(40),40자리 이내 문자,4
일련번호N,일련번호,bigint,정수 19자리,4
코드V12,코드,varchar(12),12자리 이내 문자,4
명V80,명,varchar(80),80자리 이내 문자,3
내용T,내용,text,길이 제한 없는 문자,5
명V100,명,varchar(100),100자리 이내 문자,2
문서J,문서,jsonb,JSON 문서,1
번호V5,번호,varchar(5),5자리 이내 문자,2
번호V7,번호,varchar(7),7자리 이내 문자,1
순번N,순번,smallint,정수 5자리,1
연월V6,연월,varchar(6),6자리 이내 문자,1
일련번호V2,일련번호,varchar(2),2자리 이내 문자,1
코드V3,코드,varchar(3),3자리 이내 문자,1
코드V30,코드,varchar(30),30자리 이내 문자,1
코드V5,코드,varchar(5),5자리 이내 문자,1
